T1231,MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,MarQ,5499,14999,63% off,4.2,1861 Ratings†&†222 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty']
T1232,Infinix Y1 109 cm (43 inch) Full HD LED Smart Linux TV with Wall Mount,Infinix,15490,24999,38% off,4.2,10905 Ratings†&†1599 Reviews,['Operating System: Linux' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
T1233,Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Thomson,29999,54999,45% off,4.5,28566 Ratings†&†7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
T1234,Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,Mi,19999,29999,33% off,4.3,37571 Ratings†&†3302 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty and 2 Years For Panel']
T1235,Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV with Bezel Less Display,Thomson,15999,29999,46% off,4.4,88179 Ratings†&†18468 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
T1236,SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,SAMSUNG,32990,54900,39% off,4.4,15280 Ratings†&†1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
T1237,SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,30990,52900,41% off,4.3,11689 Ratings†&†1193 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
T1238,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 M...,LG,15490,23990,35% off,4.4,1360 Ratings†&†189 Reviews,['Operating System: WebOS' 'HD Ready 1366 x 768 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
T1239,realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,realme,25999,32999,21% off,4.3,32530 Ratings†&†3710 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty On TV and 2 Years Warranty On The Display Panel']
T1240,iFFALCON by TCL K61 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,iFFALCON,44999,106990,57% off,4.3,24208 Ratings†&†3320 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
T1241,Vu GloLED 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,Vu,32999,55000,40% off,4.4,5606 Ratings†&†1061 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
T1242,Blaupunkt Cybersound 106 cm (42 inch) Full HD LED Smart Android TV with 40W Speaker,Blaupunkt,15999,29999,46% off,4.4,10127 Ratings†&†2294 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
T1243,Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,Mi,40999,59999,31% off,4.3,49297 Ratings†&†4517 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty and 2 Years for Panel']
T1244,Hisense A6H 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Hands Free Voice Control Dolby Vi...,Hisense,27999,44990,37% off,3.9,18 Ratings†&†0 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
T1245,Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,Adsun,7999,21999,63% off,3.9,14297 Ratings†&†2153 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '3 Years of warranty']
T1246,Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Compaq,23999,43999,45% off,4.2,887 Ratings†&†157 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
T1247,LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,LG,47999,71990,33% off,4.4,11059 Ratings†&†1366 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
T1249,Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Vu,24999,45000,44% off,4.4,24776 Ratings†&†3858 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
